1. 教科及び教科の指導法に関する科目  (8) 芸術学部　美術学科　彫刻専攻　免許種: 中学校教諭一種免許状（美術）、高等学校教諭一種免許状（美術）,,,,,,,
免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,左記に対応する本学に開設授業科目,左記に対応する本学に開設授業科目,,,
科目区分,各科目に含めることが必要な事項,最低取得単位数,授業科目名,単位数,中一種免,高一種免,備考
教科に関する専門的事項,絵画（映像メディア表現を含む）,中一種免28単位　高一種免24単位,デッサン実習Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら42ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,絵画（映像メディア表現を含む）,中一種免28単位　高一種免24単位,デッサン実習Ⅱ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら43ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,絵画（映像メディア表現を含む）,中一種免28単位　高一種免24単位,デッサン実習Ⅲ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら44ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習Ⅰ,8,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら57ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習ⅡA,6,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら58ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習ⅡB,4,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら59ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習ⅢA,6,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら60ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習ⅢB,4,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら61ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻実習Ⅳ,10,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら62ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,彫刻,中一種免28単位　高一種免24単位,彫刻論(古典研究を含む。),2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら63ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
教科に関する専門的事項,デザイン(映像メディア表現を含む。),中一種免28単位　高一種免24単位,構成演習Ⅰ,2,○,○,※中学校教諭一種免許状を「中一種免」、高等学校教諭一種免許状を「高一種免」で表示。※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら64ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。
